Time,Text
2024-02-27 19:32:00,Order 1193808279 successfully placed
2024-02-27 19:32:00,Modify position for symbol FOREXCOM:EURUSD with SL 1.08479
2024-02-27 19:31:48,Order 1193808080 for symbol FOREXCOM:EURUSD has been executed at price 1.08548 for 650000 shares
2024-02-27 19:31:48,Order 1193808080 successfully placed
2024-02-27 19:31:48,Call to place market order to buy 650000 shares of symbol FOREXCOM:EURUSD 
2024-02-27 17:32:21,Order 1193563465 for symbol FOREXCOM:EURUSD has been executed at price 1.08529 for 800000 shares
2024-02-27 17:32:21,Order 1193563667 successfully cancelled
2024-02-27 16:26:24,Order 1193563667 modification confirmed
2024-02-27 16:26:24,Order 1193563465 modification confirmed
2024-02-27 16:26:24,Modify position for symbol FOREXCOM:EURUSD with SL 1.08529 and TP 1.08734
2024-02-27 16:25:48,Order 1193563667 successfully placed
2024-02-27 16:25:48,Order 1193563465 modification confirmed
2024-02-27 16:25:48,Modify position for symbol FOREXCOM:EURUSD with SL 1.08529 and TP 1.08716
2024-02-27 16:25:41,Order 1193563465 successfully placed
2024-02-27 16:25:41,Modify position for symbol FOREXCOM:EURUSD with SL 1.08529
2024-02-27 16:25:37,Order 1193563315 for symbol FOREXCOM:EURUSD has been executed at price 1.08598 for 800000 shares
2024-02-27 16:25:37,Order 1193563315 successfully placed
2024-02-27 16:25:36,Call to place market order to buy 800000 shares of symbol FOREXCOM:EURUSD 
2024-02-21 21:02:25,Order 1184784000 for symbol FOREXCOM:EURUSD has been executed at price 1.08069 for 1100000 shares
2024-02-21 21:02:25,Order 1184783861 successfully cancelled
2024-02-21 19:58:44,Order 1184784000 successfully placed
