Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
FOREXCOM:EURUSD,Buy,Market,100000,,,1.09344,Filled,,500:1,218.69 USD,2024-03-08 16:31:42,2024-03-08 16:31:42,1213375491
FOREXCOM:EURUSD,Sell,Limit,1100000,1.09432,,,Cancelled,,,,2024-03-08 16:32:03,2024-03-08 17:15:38,1213375970
FOREXCOM:EURUSD,Buy,Market,600000,,,1.09345,Filled,,500:1,"1,312.14 USD",2024-03-08 17:54:26,2024-03-08 17:54:26,1213481236
FOREXCOM:EURUSD,Sell,Stop,600000,,1.09262,1.09262,Filled,,,,2024-03-08 17:54:31,2024-03-08 18:35:35,1213481302
FOREXCOM:EURUSD,Sell,Limit,600000,1.09505,,,Cancelled,,,,2024-03-08 17:54:42,2024-03-08 18:35:35,1213481496
BINANCE:BTCUSDT.P,Buy,Limit,1.42,72186.5,,,Cancelled,,500:1,,2024-03-11 22:57:17,2024-03-11 22:57:21,1218216844
BINANCE:BTCUSDT.P,Buy,Market,1.42,,,72241.7,Filled,,500:1,205.10 USD,2024-03-11 22:57:25,2024-03-11 22:57:25,1218217271
BINANCE:BTCUSDT.P,Sell,Stop,1.42,,71833.9,71840.8,Filled,,,,2024-03-11 22:57:34,2024-03-12 03:58:44,1218217709
BINANCE:BTCUSDT.P,Sell,Limit,1.42,73062.2,,,Cancelled,,,,2024-03-11 22:57:57,2024-03-12 03:58:44,1218218748
FOREXCOM:EURUSD,Buy,Market,1300000,,,1.09401,Filled,,500:1,"2,844.43 USD",2024-03-13 21:32:31,2024-03-13 21:32:31,1222087794
FOREXCOM:EURUSD,Sell,Stop,1300000,,1.09366,1.09362,Filled,,,,2024-03-13 21:32:38,2024-03-13 21:44:08,1222088250
FOREXCOM:EURUSD,Sell,Limit,1300000,1.09475,,,Cancelled,,,,2024-03-13 21:32:50,2024-03-13 21:44:08,1222089043
FOREXCOM:EURUSD,Sell,Market,1000000,,,1.09359,Filled,,500:1,"2,187.18 USD",2024-03-13 21:44:30,2024-03-13 21:44:30,1222134480
FOREXCOM:EURUSD,Buy,Stop,1000000,,1.0942,1.09421,Filled,,,,2024-03-13 21:44:35,2024-03-13 21:49:04,1222134824
FOREXCOM:EURUSD,Buy,Limit,900000,1.09411,,1.09407,Filled,,500:1,"1,969.40 USD",2024-03-13 21:49:51,2024-03-13 21:49:51,1222156198
FOREXCOM:EURUSD,Buy,Market,900000,,,1.09407,Filled,,500:1,"1,969.33 USD",2024-03-13 21:50:05,2024-03-13 21:50:05,1222157077
FOREXCOM:EURUSD,Sell,Stop,1800000,,1.0936,1.0936,Filled,,,,2024-03-13 21:50:10,2024-03-13 22:02:27,1222157412
FOREXCOM:EURUSD,Sell,Limit,1800000,1.09501,,,Cancelled,,,,2024-03-13 21:50:18,2024-03-13 22:02:27,1222157996
FOREXCOM:EURUSD,Buy,Market,1000000,,,1.09413,Filled,,500:1,"2,188.26 USD",2024-03-14 17:12:58,2024-03-14 17:12:58,1223821081
FOREXCOM:EURUSD,Sell,Stop,1000000,,1.0936,1.0936,Filled,,,,2024-03-14 17:13:16,2024-03-14 20:22:32,1223821546
FOREXCOM:EURUSD,Sell,Limit,1000000,1.09517,,,Cancelled,,,,2024-03-14 17:13:31,2024-03-14 20:22:32,1223821875
FOREXCOM:EURUSD,Sell,Market,1300000,,,1.07132,Filled,,500:1,"2,785.43 USD",2024-04-25 20:31:24,2024-04-25 20:31:24,1291815905
FOREXCOM:EURUSD,Buy,Stop,1300000,,1.0721,,Cancelled,,,,2024-04-25 20:31:30,2024-04-25 20:32:51,1291816215
FOREXCOM:EURUSD,Buy,Limit,1300000,1.06979,,1.06978,Filled,,,,2024-04-25 20:31:30,2024-04-25 20:32:51,1291816216
